idx,description,wnid,base_accuracy
7,cock,n01514668,0.66
8,hen,n01514859,0.78
9,ostrich,n01518878,0.92
10,brambling,n01530575,0.78
11,goldfinch,n01531178,0.84
12,house_finch,n01532829,0.82
13,junco,n01534433,0.92
14,indigo_bunting,n01537544,0.88
15,robin,n01558993,0.9
16,bulbul,n01560419,0.76
17,jay,n01580077,0.8
18,magpie,n01582220,0.82
19,chickadee,n01592084,0.88
20,water_ouzel,n01601694,0.8
21,kite,n01608432,0.68
22,bald_eagle,n01614925,0.94
23,vulture,n01616318,0.78
24,great_grey_owl,n01622779,0.92
80,black_grouse,n01795545,0.84
81,ptarmigan,n01796340,0.78
82,ruffed_grouse,n01797886,0.74
83,prairie_chicken,n01798484,0.86
84,peacock,n01806143,0.76
85,quail,n01806567,0.84
86,partridge,n01807496,0.62
87,African_grey,n01817953,0.9
88,macaw,n01818515,0.88
89,sulphur-crested_cockatoo,n01819313,0.76
90,lorikeet,n01820546,0.94
91,coucal,n01824575,0.82
92,bee_eater,n01828970,0.9
93,hornbill,n01829413,0.8
94,hummingbird,n01833805,0.9
95,jacamar,n01843065,0.88
96,toucan,n01843383,0.82
97,drake,n01847000,0.74
98,red-breasted_merganser,n01855032,0.84
99,goose,n01855672,0.64
100,black_swan,n01860187,0.94
127,white_stork,n02002556,0.86
128,black_stork,n02002724,0.78
129,spoonbill,n02006656,0.96
130,flamingo,n02007558,0.9
131,little_blue_heron,n02009229,0.68
132,American_egret,n02009912,0.82
133,bittern,n02011460,0.74
134,crane,n02012849,0.56
135,limpkin,n02013706,0.94
136,European_gallinule,n02017213,0.92
137,American_coot,n02018207,0.82
138,bustard,n02018795,0.88
139,ruddy_turnstone,n02025239,0.98
140,red-backed_sandpiper,n02027492,0.7
141,redshank,n02028035,0.82
142,dowitcher,n02033041,0.86
143,oystercatcher,n02037110,0.8
144,pelican,n02051845,0.82
145,king_penguin,n02056570,0.86
146,albatross,n02058221,0.84
996,hen-of-the-woods,n13052670,0.74
