idx,description,wnid,base_accuracy
151,Chihuahua,n02085620,0.52
152,Japanese_spaniel,n02085782,0.72
153,Maltese_dog,n02085936,0.66
154,Pekinese,n02086079,0.72
155,Shih-Tzu,n02086240,0.58
156,Blenheim_spaniel,n02086646,0.88
157,papillon,n02086910,0.72
158,toy_terrier,n02087046,0.48
159,Rhodesian_ridgeback,n02087394,0.5
160,Afghan_hound,n02088094,0.68
161,basset,n02088238,0.78
162,beagle,n02088364,0.68
163,bloodhound,n02088466,0.46
164,bluetick,n02088632,0.84
165,black-and-tan_coonhound,n02089078,0.62
166,Walker_hound,n02089867,0.56
167,English_foxhound,n02089973,0.4
168,redbone,n02090379,0.64
169,borzoi,n02090622,0.84
170,Irish_wolfhound,n02090721,0.46
171,Italian_greyhound,n02091032,0.66
172,whippet,n02091134,0.68
173,Ibizan_hound,n02091244,0.68
174,Norwegian_elkhound,n02091467,0.8
175,otterhound,n02091635,0.56
176,Saluki,n02091831,0.56
177,Scottish_deerhound,n02092002,0.72
178,Weimaraner,n02092339,0.88
179,Staffordshire_bullterrier,n02093256,0.56
180,American_Staffordshire_terrier,n02093428,0.46
181,Bedlington_terrier,n02093647,0.82
182,Border_terrier,n02093754,0.68
183,Kerry_blue_terrier,n02093859,0.7
184,Irish_terrier,n02093991,0.56
185,Norfolk_terrier,n02094114,0.48
186,Norwich_terrier,n02094258,0.6
187,Yorkshire_terrier,n02094433,0.4
188,wire-haired_fox_terrier,n02095314,0.74
189,Lakeland_terrier,n02095570,0.54
190,Sealyham_terrier,n02095889,0.76
191,Airedale,n02096051,0.82
192,cairn,n02096177,0.54
193,Australian_terrier,n02096294,0.44
194,Dandie_Dinmont,n02096437,0.7
195,Boston_bull,n02096585,0.78
196,miniature_schnauzer,n02097047,0.6
197,giant_schnauzer,n02097130,0.58
198,standard_schnauzer,n02097209,0.68
199,Scotch_terrier,n02097298,0.68
200,Tibetan_terrier,n02097474,0.36
201,silky_terrier,n02097658,0.52
202,soft-coated_wheaten_terrier,n02098105,0.54
203,West_Highland_white_terrier,n02098286,0.76
204,Lhasa,n02098413,0.52
205,flat-coated_retriever,n02099267,0.62
206,curly-coated_retriever,n02099429,0.64
207,golden_retriever,n02099601,0.6
208,Labrador_retriever,n02099712,0.66
209,Chesapeake_Bay_retriever,n02099849,0.66
210,German_short-haired_pointer,n02100236,0.64
211,vizsla,n02100583,0.66
212,English_setter,n02100735,0.66
213,Irish_setter,n02100877,0.68
214,Gordon_setter,n02101006,0.76
215,Brittany_spaniel,n02101388,0.74
216,clumber,n02101556,0.82
217,English_springer,n02102040,0.8
218,Welsh_springer_spaniel,n02102177,0.94
219,cocker_spaniel,n02102318,0.54
220,Sussex_spaniel,n02102480,0.6
221,Irish_water_spaniel,n02102973,0.86
222,kuvasz,n02104029,0.62
223,schipperke,n02104365,0.74
224,groenendael,n02105056,0.68
225,malinois,n02105162,0.76
226,briard,n02105251,0.48
227,kelpie,n02105412,0.58
228,komondor,n02105505,0.86
229,Old_English_sheepdog,n02105641,0.8
230,Shetland_sheepdog,n02105855,0.58
231,collie,n02106030,0.56
232,Border_collie,n02106166,0.66
233,Bouvier_des_Flandres,n02106382,0.62
234,Rottweiler,n02106550,0.7
235,German_shepherd,n02106662,0.68
236,Doberman,n02107142,0.6
237,miniature_pinscher,n02107312,0.5
238,Greater_Swiss_Mountain_dog,n02107574,0.66
239,Bernese_mountain_dog,n02107683,0.9
240,Appenzeller,n02107908,0.3
241,EntleBucher,n02108000,0.5
242,boxer,n02108089,0.58
243,bull_mastiff,n02108422,0.72
244,Tibetan_mastiff,n02108551,0.86
245,French_bulldog,n02108915,0.72
246,Great_Dane,n02109047,0.56
247,Saint_Bernard,n02109525,0.9
248,Eskimo_dog,n02109961,0.26
249,malamute,n02110063,0.58
250,Siberian_husky,n02110185,0.56
251,dalmatian,n02110341,0.96
252,affenpinscher,n02110627,0.66
253,basenji,n02110806,0.8
254,pug,n02110958,0.8
255,Leonberg,n02111129,0.96
256,Newfoundland,n02111277,0.76
257,Great_Pyrenees,n02111500,0.66
258,Samoyed,n02111889,0.88
259,Pomeranian,n02112018,0.88
260,chow,n02112137,0.8
261,keeshond,n02112350,0.76
262,Brabancon_griffon,n02112706,0.66
263,Pembroke,n02113023,0.72
264,Cardigan,n02113186,0.54
265,toy_poodle,n02113624,0.44
266,miniature_poodle,n02113712,0.28
267,standard_poodle,n02113799,0.7
268,Mexican_hairless,n02113978,0.86
269,timber_wolf,n02114367,0.68
270,white_wolf,n02114548,0.78
271,red_wolf,n02114712,0.46
272,coyote,n02114855,0.6
273,dingo,n02115641,0.68
274,dhole,n02115913,0.82
275,African_hunting_dog,n02116738,0.94
277,red_fox,n02119022,0.54
278,kit_fox,n02119789,0.44
279,Arctic_fox,n02120079,0.84
280,grey_fox,n02120505,0.7
