idx,description,wnid,base_accuracy
906,Windsor_tie,n04591157,0.2
639,maillot,n03710721,0.2
837,sunglasses,n04356056,0.2
869,trench_coat,n04479046,0.2
689,overskirt,n03866082,0.22
655,miniskirt,n03770439,0.28
841,sweatshirt,n04370456,0.28
414,backpack,n02769748,0.3
461,breastplate,n02895154,0.3
501,cloak,n03045698,0.32
748,purse,n04026417,0.32
834,suit,n04350905,0.32
824,stole,n04325704,0.38
400,academic_gown,n02669723,0.4
459,brassiere,n02892767,0.4
465,bulletproof_vest,n02916936,0.44
514,cowboy_boot,n03124043,0.44
652,military_uniform,n03763968,0.44
515,cowboy_hat,n03124170,0.46
578,gown,n03450230,0.46
842,swimming_trunks,n04371430,0.46
601,hoopskirt,n03534580,0.48
775,sarong,n04136333,0.52
808,sombrero,n04259630,0.52
264,Cardigan,n02113186,0.54
774,sandal,n04133789,0.54
443,bib,n02834397,0.56
570,gasmask,n03424325,0.56
806,sock,n04254777,0.56
433,bathing_cap,n02807133,0.58
474,cardigan,n02963159,0.58
529,diaper,n03188531,0.58
445,bikini,n02837789,0.6
457,bow_tie,n02883205,0.6
608,jean,n03594734,0.6
770,running_shoe,n04120489,0.6
452,bonnet,n02869837,0.62
490,chain_mail,n03000247,0.62
591,handkerchief,n03485794,0.62
793,shower_cap,n04209133,0.62
630,Loafer,n03680355,0.64
411,apron,n02730930,0.64
777,scabbard,n04141327,0.66
796,ski_mask,n04229816,0.66
735,poncho,n03980874,0.68
615,knee_pad,n03623198,0.7
658,mitten,n03775071,0.7
610,jersey,n03595614,0.72
617,lab_coat,n03630383,0.72
518,crash_helmet,n03127747,0.74
552,feather_boa,n03325584,0.74
451,bolo_tie,n02865351,0.76
614,kimono,n03617480,0.76
560,football_helmet,n03379051,0.8
568,fur_coat,n03404251,0.8
801,snorkel,n04251144,0.82
679,necklace,n03814906,0.84
