idx,description,wnid,base_accuracy
407,ambulance,n02701002,0.86
408,amphibian,n02704792,0.54
436,beach_wagon,n02814533,0.36
444,bicycle-built-for-two,n02835271,0.7
466,bullet_train,n02917067,0.92
468,cab,n02930766,0.68
511,convertible,n03100240,0.68
547,electric_locomotive,n03272562,0.9
555,fire_engine,n03345487,0.8
561,forklift,n03384352,0.76
565,freight_car,n03393912,0.96
569,garbage_truck,n03417042,0.92
573,go-kart,n03444034,0.78
575,golfcart,n03445924,0.78
586,half_track,n03478589,0.7
603,horse_cart,n03538406,0.68
609,jeep,n03594945,0.66
627,limousine,n03670208,0.7
654,minibus,n03769881,0.78
656,minivan,n03770679,0.42
660,mobile_home,n03776460,0.6
661,Model_T,n03777568,0.82
665,moped,n03785016,0.5
670,motor_scooter,n03791053,0.76
671,mountain_bike,n03792782,0.74
675,moving_van,n03796401,0.48
690,oxcart,n03868242,0.7
705,passenger_car,n03895866,0.46
724,pirate,n03947888,0.76
734,police_van,n03977966,0.68
751,racer,n04037443,0.7
757,recreational_vehicle,n04065272,0.8
779,school_bus,n04146614,0.88
802,snowmobile,n04252077,0.86
803,snowplow,n04252225,0.92
817,sports_car,n04285008,0.4
820,steam_locomotive,n04310018,0.84
829,streetcar,n04335435,0.88
847,tank,n04389033,0.8
864,tow_truck,n04461696,0.5
866,tractor,n04465501,0.78
867,trailer_truck,n04467665,0.52
870,tricycle,n04482393,0.76
874,trolleybus,n04487081,0.8
880,unicycle,n04509417,0.7
