idx,description,wnid,base_accuracy
638,maillot,n03710637,0.08
664,monitor,n03782006,0.1
838,sunscreen,n04357314,0.12
885,velvet,n04525038,0.12
782,screen,n04152593,0.14
784,screwdriver,n04154565,0.14
836,sunglass,n04355933,0.14
899,water_jug,n04560804,0.14
493,chiffonier,n03016953,0.18
600,hook,n03532672,0.18
488,chain,n02999410,0.2
499,cleaver,n03041632,0.2
620,laptop,n03642806,0.2
623,letter_opener,n03658185,0.2
639,maillot,n03710721,0.2
681,notebook,n03832673,0.2
813,spatula,n04270147,0.2
837,sunglasses,n04356056,0.2
869,trench_coat,n04479046,0.2
906,Windsor_tie,n04591157,0.2
60,night_snake,n01740131,0.22
676,muzzle,n03803284,0.22
689,overskirt,n03866082,0.22
876,tub,n04493381,0.22
618,ladle,n03633091,0.24
633,loupe,n03692522,0.24
744,projectile,n04008634,0.24
961,dough,n07860988,0.24
68,sidewinder,n01756291,0.26
248,Eskimo_dog,n02109961,0.26
482,cassette_player,n02979186,0.26
764,rifle,n04090263,0.26
818,spotlight,n04286575,0.26
830,stretcher,n04336792,0.26
848,tape_player,n04392985,0.26
266,miniature_poodle,n02113712,0.28
282,tiger_cat,n02123159,0.28
412,ashcan,n02747177,0.28
479,car_wheel,n02974003,0.28
485,CD_player,n02988304,0.28
585,hair_spray,n03476991,0.28
655,miniskirt,n03770439,0.28
673,mouse,n03793489,0.28
841,sweatshirt,n04370456,0.28
909,wok,n04596742,0.28
968,cup,n07930864,0.28
240,Appenzeller,n02107908,0.3
414,backpack,n02769748,0.3
415,bakery,n02776631,0.3
461,breastplate,n02895154,0.3
523,crutch,n03141823,0.3
733,pole,n03976657,0.3
464,buckle,n02910353,0.32
501,cloak,n03045698,0.32
558,flute,n03372029,0.32
567,frying_pan,n03400231,0.32
748,purse,n04026417,0.32
834,suit,n04350905,0.32
860,tobacco_shop,n04443257,0.32
947,mushroom,n07734744,0.32
987,corn,n12144580,0.32
516,cradle,n03125729,0.34
622,lens_cap,n03657121,0.34
728,plastic_bag,n03958227,0.34
731,plunger,n03970156,0.34
823,stethoscope,n04317175,0.34
911,wool,n04599235,0.34
999,toilet_tissue,n15075141,0.34
32,tailed_frog,n01644900,0.36
62,rock_python,n01744401,0.36
200,Tibetan_terrier,n02097474,0.36
358,polecat,n02443114,0.36
435,bathtub,n02808440,0.36
436,beach_wagon,n02814533,0.36
438,beaker,n02815834,0.36
524,cuirass,n03146219,0.36
541,drum,n03249569,0.36
584,hair_slide,n03476684,0.36
799,sliding_door,n04239074,0.36
898,water_bottle,n04557648,0.36
969,eggnog,n07932039,0.36
35,mud_turtle,n01667114,0.38
44,alligator_lizard,n01689811,0.38
345,ox,n02403003,0.38
413,assault_rifle,n02749479,0.38
542,drumstick,n03250847,0.38
550,espresso_maker,n03297495,0.38
589,hand_blower,n03483316,0.38
619,lampshade,n03637318,0.38
725,pitcher,n03950228,0.38
824,stole,n04325704,0.38
907,wine_bottle,n04591713,0.38
40,American_chameleon,n01682714,0.4
124,crayfish,n01985128,0.4
167,English_foxhound,n02089973,0.4
187,Yorkshire_terrier,n02094433,0.4
356,weasel,n02441942,0.4
400,academic_gown,n02669723,0.4
402,acoustic_guitar,n02676566,0.4
459,brassiere,n02892767,0.4
513,cornet,n03110669,0.4
643,mask,n03724870,0.4
650,microphone,n03759954,0.4
691,oxygen_mask,n03868863,0.4
729,plate_rack,n03961711,0.4
754,radio,n04041544,0.4
787,shield,n04192698,0.4
809,soup_bowl,n04263257,0.4
817,sports_car,n04285008,0.4
892,wall_clock,n04548280,0.4
917,comic_book,n06596364,0.4
960,chocolate_sauce,n07836838,0.4
73,barn_spider,n01773549,0.42
385,Indian_elephant,n02504013,0.42
424,barbershop,n02791270,0.42
442,bell_cote,n02825657,0.42
469,caldron,n02939185,0.42
538,dome,n03220513,0.42
656,minivan,n03770679,0.42
700,paper_towel,n03887697,0.42
742,printer,n04004767,0.42
758,reel,n04067472,0.42
765,rocking_chair,n04099969,0.42
34,leatherback_turtle,n01665541,0.44
36,terrapin,n01667778,0.44
193,Australian_terrier,n02096294,0.44
265,toy_poodle,n02113624,0.44
278,kit_fox,n02119789,0.44
381,spider_monkey,n02493793,0.44
409,analog_clock,n02708093,0.44
418,ballpoint,n02783161,0.44
447,binoculars,n02841315,0.44
463,bucket,n02909870,0.44
465,bulletproof_vest,n02916936,0.44
514,cowboy_boot,n03124043,0.44
534,dishwasher,n03207941,0.44
590,hand-held_computer,n03485407,0.44
596,hatchet,n03498962,0.44
599,honeycomb,n03530642,0.44
652,military_uniform,n03763968,0.44
678,neck_brace,n03814639,0.44
709,pencil_box,n03908618,0.44
717,pickup,n03930630,0.44
772,safety_pin,n04127249,0.44
879,umbrella,n04507155,0.44
905,window_shade,n04590129,0.44
46,green_lizard,n01693334,0.46
54,hognose_snake,n01729322,0.46
